id,project_code,country,managed_by,fulfill_via,vendor_inco_term,product_group,sub_class,vendor,shipment_mode,shipment_mode_clean,scheduled_date,delivered_date,recorded_date,year,month,year_month,weight_kg,freight_cost_usd,freight_category,freight_flag,freight_outlier_flag,line_item_value,cost_per_kg,delivery_status,days_variance
11310,107-RW-T01,Rwanda,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-04-09,2009-04-09,2009-04-09,2009,4,2009-04,327,1762.5,Numeric,FALSE,FALSE,15579.4,5.389908256880734,On-Time,0
11312,127-KE-T01,Kenya,PMO - US,From RDC,N/A - From RDC,ARV,Pediatric,SCMS from RDC,Truck,Truck,2009-04-23,2009-04-23,2009-04-23,2009,4,2009-04,NA,0,Included,TRUE,FALSE,39.3,NA,On-Time,0
11313,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-05-08,2009-05-08,2009-05-08,2009,5,2009-05,6024,15128.37,Numeric,FALSE,FALSE,611849.4,2.5113496015936256,On-Time,0
11314,106-HT-T01,Haiti,PMO - US,From RDC,N/A - From RDC,ARV,Pediatric,SCMS from RDC,Air,Air,2009-05-19,2009-05-19,2009-05-19,2009,5,2009-05,199,3133.23,Numeric,FALSE,FALSE,6409.2,15.744874371859297,On-Time,0
11315,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-05-14,2009-05-14,2009-05-14,2009,5,2009-05,1901,18638.84,Numeric,FALSE,FALSE,190357.2,9.804755391899,On-Time,0
11316,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-05-14,2009-05-14,2009-05-14,2009,5,2009-05,1079,10823.52,Numeric,FALSE,FALSE,108106.2,10.03106580166821,On-Time,0
11317,114-UG-T01,Uganda,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-06-24,2009-06-24,2009-06-24,2009,6,2009-06,76,1954.23,Numeric,FALSE,FALSE,8427.24,25.71355263157895,On-Time,0
11318,111-MZ-T01,Mozambique,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-06-28,2009-06-28,2009-06-28,2009,6,2009-06,NA,NA,Cross-reference,TRUE,FALSE,188568,NA,On-Time,0
11319,114-UG-T01,Uganda,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-06-01,2009-06-01,2009-06-01,2009,6,2009-06,NA,NA,Cross-reference,TRUE,FALSE,2362.5,NA,On-Time,0
11320,111-MZ-T01,Mozambique,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-06-16,2009-06-16,2009-06-16,2009,6,2009-06,NA,0,Included,TRUE,FALSE,83119.2,NA,On-Time,0
